"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
"2732",9.5381868319967e-249,1.03616846900926,0.422,0.11,2.82110951929966e-244,"Stele","Os03g0318400"
"2733",6.76582802158592e-273,1.0291179383265,0.973,0.64,2.00112895394447e-268,"Stele","Os03g0661300"
"2734",0,1.0235656758012,0.835,0.237,0,"Stele","Os03g0721300"
"2735",2.12829471656386e-261,1.02284457305853,0.965,0.649,6.29485728318093e-257,"Stele","Os03g0116400"
"2736",0,1.0219639426312,0.907,0.361,0,"Stele","Os07g0600700"
"2737",8.03124044684544e-164,1.01944481943049,0.902,0.599,2.37539998696348e-159,"Stele","Os04g0233400"
"2738",2.22385667359524e-280,1.01869981412059,0.83,0.363,6.57750088349263e-276,"Stele","Os02g0763000"
"2739",2.24201766988229e-258,1.01425781382956,0.783,0.326,6.63121566221084e-254,"Stele","Os05g0209600"
"2740",6.53212296035475e-180,1.00966908607504,0.945,0.706,1.93200600798412e-175,"Stele","Os02g0718100"
"2741",0,1.00494428871977,0.81,0.302,0,"Stele","Os02g0138000"
"2742",0,1.00365305932358,0.76,0.216,0,"Stele","Os11g0539200"
"2743",0,0.99689743697503,0.965,0.635,0,"Stele","Os05g0386800"
"2744",0,0.987070462597692,0.798,0.221,0,"Stele","Os06g0707200"
"2745",1.9325166836666e-193,0.984207560654141,0.952,0.679,5.71580459528071e-189,"Stele","Os08g0237000"
"2746",0,0.983907017696797,0.576,0.165,0,"Stele","Os05g0477600"
"2747",0,0.976624098482052,0.574,0.032,0,"Stele","Os08g0115800"
"2748",7.11274861963353e-292,0.967122528666535,0.901,0.446,2.10373765922901e-287,"Stele","Os02g0109800"
"2749",0,0.966116590457612,0.6,0.085,0,"Stele","Os05g0543600"
"2750",1.70222987734874e-170,0.953907974250944,0.593,0.24,5.03468530823437e-166,"Stele","Os08g0138100"
"2751",1.19395139583115e-285,0.945205346628977,0.94,0.492,3.5313500434498e-281,"Stele","Os04g0689500"
"2752",7.41807749118151e-249,0.943569334400618,0.935,0.537,2.19404477956676e-244,"Stele","Os08g0557600"
"2753",7.0223015993885e-230,0.938371770695496,0.946,0.599,2.07698614405114e-225,"Stele","Os03g0757900"
"2754",0,0.936492488119259,0.882,0.41,0,"Stele","Os03g0836000"
"2755",6.79977449313087e-271,0.934064166796484,0.782,0.315,2.01116930183332e-266,"Stele","Os01g0309100"
"2756",1.22762695797309e-183,0.933607280079091,0.36,0.102,3.630952253597e-179,"Stele","Os01g0795600"
"2757",8.3798899656772e-268,0.931487678349867,0.905,0.44,2.47852005514834e-263,"Stele","Os08g0557900"
"2758",3.00842270264753e-246,0.931422964145433,0.632,0.218,8.8980118276206e-242,"Stele","Os04g0385900"
"2759",7.07867891414586e-291,0.928769609807637,0.906,0.442,2.09366086243692e-286,"Stele","Os12g0510900"
"2760",0,0.926534970960248,0.862,0.358,0,"Stele","Os04g0650300"
"2761",2.75025773600876e-301,0.924260871554507,0.994,0.89,8.1344373057931e-297,"Stele","Os08g0498100"
"2762",2.8827089932469e-106,0.9223960226234,0.765,0.444,8.52618838932637e-102,"Stele","Os10g0552200"
"2763",4.62636140129549e-150,0.922114741995273,0.647,0.291,1.36833891166117e-145,"Stele","Os02g0764700"
"2764",2.67051268714746e-240,0.920687826877618,0.923,0.539,7.89857537477603e-236,"Stele","Os05g0123200"
"2765",5.71248807784438e-216,0.91508377828588,0.871,0.472,1.68958259878403e-211,"Stele","Os04g0495400"
"2766",0,0.91154369594228,0.484,0.105,0,"Stele","Os05g0342000"
"2767",0,0.910261408164456,0.685,0.16,0,"Stele","Os01g0165600"
"2768",2.06944310626994e-224,0.906064807361011,0.819,0.396,6.1207918754146e-220,"Stele","Os01g0756200"
"2769",4.07963186334364e-251,0.90542625678885,0.949,0.598,1.20663271622115e-246,"Stele","Os05g0176100"
"2770",0,0.898710247508716,0.781,0.242,0,"Stele","Os04g0606500"
"2771",1.53880917702751e-280,0.894924018408282,0.882,0.372,4.55133590289427e-276,"Stele","Os06g0711900"
