,p_val,avg_log2FC,pct_1,pct_2,p_val_adj,clusterName,gene
2865,1.95253019883395e-164,0.664379432,0.387,0.233,4.23738103750943e-160,Nonhair,Solyc06g053400
2866,7.4145708921081e-117,0.663902128,0.421,0.298,1.6091101750053e-112,Nonhair,Solyc06g063090
2867,1.60578112130486e-113,0.662872656,0.611,0.562,3.4848661894558e-109,Nonhair,Solyc08g075780
2868,3.35862360894655e-183,0.659435634,0.37,0.2,7.28888495613579e-179,Nonhair,Solyc04g079430
2869,2.75128459902943e-158,0.659384699,0.37,0.216,5.97083783681368e-154,Nonhair,Solyc01g104080
2870,6.07636180324448e-197,0.657823617,0.861,0.805,1.31869203854012e-192,Nonhair,Solyc08g078070
2871,1.17681941439423e-106,0.65284816,0.332,0.201,2.55393349311835e-102,Nonhair,Solyc01g006660
2872,1.44793638969418e-134,0.652088044,0.315,0.169,3.14231155291432e-130,Nonhair,Solyc04g078820
2873,2.75998773327173e-156,0.647363957,0.371,0.214,5.98972537874631e-152,Nonhair,Solyc12g019740
2874,1.80432290760916e-126,0.64253075,0.588,0.5,3.9157415740934e-122,Nonhair,Solyc11g006500
2875,3.43313846798642e-131,0.642113467,0.586,0.499,7.45059710322414e-127,Nonhair,Solyc07g064270
2876,1.29269800502202e-130,0.639750768,0.423,0.291,2.80541321049878e-126,Nonhair,Solyc07g054060
2877,1.41439241819686e-187,0.63834347,0.705,0.537,3.06951442597082e-183,Nonhair,Solyc11g013130
2878,8.16087980650004e-169,0.637368807,0.345,0.188,1.77107413560664e-164,Nonhair,Solyc03g120900
