"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
2.24084344461537e-94,0.79333527444221,0.547,0.399,4.86307844350428e-90,"EXO_iCOR1","Solyc02g065765"
3.65611930398085e-93,0.789174481237998,0.605,0.505,7.93451011349924e-89,"EXO_iCOR1","Solyc10g079200"
1.50461751422957e-115,0.780615562783986,0.51,0.304,3.26532092938101e-111,"EXO_iCOR1","Solyc04g018110"
7.49601845712238e-138,0.770333206878003,0.843,0.74,1.6267859255647e-133,"EXO_iCOR1","Solyc09g083290"
7.12204845468317e-113,0.770275773054099,0.689,0.567,1.54562695563534e-108,"EXO_iCOR1","Solyc06g076410"
3.28638713361903e-97,0.766951775688435,0.652,0.556,7.13211735738001e-93,"EXO_iCOR1","Solyc01g087210"
2.06259908793725e-66,0.766027811529214,0.564,0.463,4.47625254064142e-62,"EXO_iCOR1","Solyc07g055290"
1.18957090796632e-273,0.764508707508745,0.985,0.922,2.58160678446852e-269,"EXO_iCOR1","Solyc09g008280"
1.40570634684048e-86,0.763096577478679,0.568,0.407,3.05066391391321e-82,"EXO_iCOR1","Solyc08g066740"
1.6630335095524e-142,0.761223197680281,0.78,0.663,3.60911532243061e-138,"EXO_iCOR1","Solyc05g050800"
1.27870722920953e-99,0.758007145829985,0.646,0.537,2.77505042883051e-95,"EXO_iCOR1","Solyc12g098640"
9.00644605721967e-53,0.753913056173523,0.561,0.469,1.95457892333781e-48,"EXO_iCOR1","Solyc10g081160"
2.53602081130854e-108,0.749422294226791,0.593,0.406,5.50367236470179e-104,"EXO_iCOR1","Solyc07g043320"
1.32934498605987e-151,0.723003614792381,0.69,0.379,2.88494448874712e-147,"EXO_iCOR1","Solyc09g090600"
2.91867533512941e-84,0.72234037048322,0.658,0.557,6.33410921229785e-80,"EXO_iCOR1","Solyc04g078750"
9.45949373517162e-97,0.720261537395756,0.685,0.588,2.05289933040694e-92,"EXO_iCOR1","Solyc04g063230"
7.82197344136261e-80,0.719808345334282,0.582,0.419,1.69752467624451e-75,"EXO_iCOR1","Solyc04g074310"
5.53426291039837e-81,0.717805583179748,0.667,0.578,1.20104573681465e-76,"EXO_iCOR1","Solyc12g056580"
1.52087739554703e-132,0.717004934095237,0.84,0.775,3.30060812381617e-128,"EXO_iCOR1","Solyc09g098300"
1.31534217049174e-82,0.71692443421009,0.594,0.469,2.85455557840118e-78,"EXO_iCOR1","Solyc02g082260"
1.69267724984322e-207,0.715817272268082,0.955,0.892,3.67344816760975e-203,"EXO_iCOR1","Solyc04g073990"
1.4841826131711e-163,0.712887381145699,0.857,0.767,3.22097310710392e-159,"EXO_iCOR1","Solyc10g054570"
4.45174121252372e-124,0.708004477221196,0.819,0.66,9.66116877941898e-120,"EXO_iCOR1","Solyc05g053060"
1.16027020276982e-72,0.699565054880524,0.553,0.426,2.51801839405106e-68,"EXO_iCOR1","Solyc01g065510"
3.89167132444228e-62,0.696734940173767,0.551,0.446,8.44570510830463e-58,"EXO_iCOR1","Solyc10g084280"
2.07623696275826e-111,0.695188337858167,0.785,0.665,4.50584945657797e-107,"EXO_iCOR1","Solyc10g050890"
5.23340210292889e-142,0.690937103145934,0.843,0.794,1.13575292437763e-137,"EXO_iCOR1","Solyc03g083970"
