"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
8.63846031211564e-63,0.687712885736959,0.6,0.603,2.55499740651444e-58,"EMC","Os07g0164800"
3.3786987687587e-271,0.687047477336535,0.916,0.865,9.99317734835761e-267,"EMC","Os07g0680300"
2.96887084962109e-236,0.681664952277592,0.865,0.665,8.78102931192431e-232,"EMC","Os10g0417600"
4.65153148977633e-136,0.676481660717515,0.774,0.74,1.37578346873115e-131,"EMC","Os10g0167300"
3.44992440661058e-241,0.676398103389416,0.878,0.835,1.02038414174321e-236,"EMC","Os03g0581800"
6.5369380688596e-87,0.674622114755029,0.746,0.717,1.93343017262661e-82,"EMC","Os05g0176700"
1.96936907600943e-50,0.673463108538661,0.572,0.602,5.82480291611308e-46,"EMC","Os06g0232000"
6.8399761164107e-64,0.668487181381495,0.63,0.623,2.02305973595079e-59,"EMC","Os03g0274000"
1.19682797560448e-143,0.666837128735524,0.788,0.774,3.53985810344538e-139,"EMC","Os02g0800100"
3.42454158724108e-137,0.665920703394741,0.748,0.748,1.01287666525829e-132,"EMC","Os05g0122900"
5.40096989337009e-81,0.65586514724963,0.657,0.685,1.59744486536207e-76,"EMC","Os08g0556600"
2.6385766286094e-26,0.653941841571844,0.512,0.582,7.80411809443802e-22,"EMC","Os02g0608700"
1.16472863727697e-272,0.65088744119037,0.945,0.911,3.44491789047408e-268,"EMC","Os02g0175800"
1.31910601609754e-25,0.646018141325362,0.515,0.553,3.90151986381168e-21,"EMC","Os06g0567000"
5.13430347437408e-09,0.642761080018042,0.433,0.51,0.000151857293861562,"EMC","Os11g0474566"
1.91911776188507e-51,0.6400825288659,0.587,0.593,5.67617460432748e-47,"EMC","Os02g0135500"
4.5669966497297e-15,0.624443152215277,0.452,0.507,1.35078059909055e-10,"EMC","Os03g0843300"
1.57998021729328e-30,0.620003547876515,0.558,0.633,4.67310748868834e-26,"EMC","Os07g0665200"
3.63490560796222e-46,0.618159349945848,0.584,0.568,1.07509603166699e-41,"EMC","Os01g0582600"
4.72139544606939e-52,0.613568418923122,0.595,0.643,1.39644713108394e-47,"EMC","Os07g0597000"
2.34237298851638e-215,0.61342473702317,0.895,0.878,6.92803658813489e-211,"EMC","Os03g0772800"
2.59319565950115e-91,0.610313565168613,0.742,0.678,7.66989480210656e-87,"EMC","Os04g0497200"
1.11433317835009e-13,0.608499216117744,0.476,0.563,3.29586324160606e-09,"EMC","Os06g0659500"
3.18098679234759e-154,0.60740176147771,0.573,0.327,9.40840463572648e-150,"EMC","Os11g0649600"
1.14426136534162e-83,0.60305953029842,0.702,0.677,3.3843818402709e-79,"EMC","Os01g0254200"
4.37033229946155e-232,0.5965260191022,0.933,0.895,1.29261318421174e-227,"EMC","Os06g0115100"
8.88524167028643e-260,0.586507910339482,0.967,0.933,2.62798792882062e-255,"EMC","Os05g0420600"
1.45266442634773e-56,0.583933632287899,0.628,0.649,4.29654557380868e-52,"EMC","Os05g0106100"
1.9417320581981e-118,0.582936514938777,0.845,0.788,5.74306090853253e-114,"EMC","Os07g0185900"
2.02425651380053e-197,0.578240850027311,0.902,0.855,5.98714349086781e-193,"EMC","Os03g0806900"
2.33904196672908e-167,0.577844768833362,0.859,0.716,6.9181844249946e-163,"EMC","Os10g0528300"
2.87730887480309e-117,0.567595033901112,0.77,0.781,8.51021645900509e-113,"EMC","Os03g0685900"
2.35748870083239e-52,0.567331789189293,0.717,0.755,6.97274433045196e-48,"EMC","Os05g0355500"
2.03999175802748e-05,0.559918432909038,0.44,0.54,0.603368362271786,"EMC","Os01g0157900"
2.15616312027016e-08,0.559449124197943,0.435,0.512,0.000637728366082306,"EMC","Os03g0690000"
3.56146978343531e-57,0.550929213546393,0.649,0.653,1.05337591784666e-52,"EMC","Os01g0104400"
1.14655593803982e-09,0.550403704107312,0.477,0.557,3.39116849794039e-05,"EMC","Os02g0227200"
0.000545230151640173,0.547987648250464,0.465,0.543,1,"EMC","Os09g0568800"
