"gene","name","p_val","p_val_adj","pct_1","pct_2","pct_diff","avg_log2FC","clusterName","celltype_id","species","tissue","dataset"
"Os10g0550800","Os10g0550800",0,0,0.521,0.165,0.356,1.84373640582195,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os03g0794500","OsGDH1",0,0,0.716,0.225,0.491,1.83915353626651,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os02g0626100","OsPAL",0,0,0.56,0.161,0.399,1.77700998597216,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os05g0438600","LOC_Os05g36270",0,0,0.677,0.276,0.401,1.69900252438801,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os10g0550900","OsProDH",0,0,0.693,0.283,0.41,1.68853078382521,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os12g0567800","OsMT1f",0,0,0.876,0.495,0.381,1.66412075659293,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os01g0138800","LOC_Os01g04620",0,0,0.77,0.35,0.42,1.6452282734497,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os12g0147200","LOC_Os12g05210",3.66764094456309e-230,2.08039597298452e-225,0.293,0.124,0.169,1.62654576793169,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os03g0734300","LOC_Os03g52390",0,0,0.97,0.772,0.198,1.61921500017681,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os03g0183000","OsLG3",0,0,0.839,0.4,0.439,1.59870009821421,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os12g0428000","OsStr7",0,0,0.633,0.257,0.376,1.5577724119852,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os05g0171900","OsGLYI6",0,0,0.694,0.418,0.276,1.54436365592094,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os04g0543900","OsGDH2",0,0,0.962,0.71,0.252,1.48503105614536,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os06g0549900","LOC_Os06g35700",0,0,0.728,0.383,0.345,1.47249755123743,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os04g0462500","GF14B",0,0,0.874,0.523,0.351,1.46768841062533,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os09g0346500","CAB1R",1.77996670037219e-209,1.00965051145211e-204,0.297,0.133,0.164,1.46420591581665,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os07g0106200","OsMST3",0,0,0.953,0.755,0.198,1.44114315542451,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os05g0228000","LOC_Os05g13970",0,0,0.785,0.363,0.422,1.43992371981627,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os04g0688100","prx59",0,0,0.434,0.176,0.258,1.43140370794741,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os01g0760000","LOC_Os01g55510",0,0,0.715,0.368,0.347,1.42507014751258,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os01g0916400","Os01g0916400",0,0,0.693,0.319,0.374,1.41911969156217,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os01g0124401","RBBI3-3",3.81855869351092e-275,2.1660010477202e-270,0.335,0.141,0.194,1.40983838506659,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os03g0826800","LOC_Os03g61150",0,0,0.538,0.241,0.297,1.40245938197092,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os04g0605300","OsIRL1",0,0,0.526,0.156,0.37,1.38101916728715,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os03g0734100","LOC_Os03g52370",0,0,0.901,0.661,0.24,1.36945601990821,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os05g0375400","Os05g0375400",0,0,0.389,0.07,0.319,1.36894488969495,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os03g0231600","LOC_Os03g12890",0,0,0.867,0.588,0.279,1.35666220254096,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os02g0514500","LOC_Os02g31030",0,0,0.606,0.222,0.384,1.34019082232168,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os03g0673400","LOC_Os03g47034",0,0,0.936,0.735,0.201,1.32944853569216,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os07g0694700","APX2",0,0,0.828,0.432,0.396,1.3292669050695,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os12g0555500","OsPR10a",8.75541949231594e-264,4.96633659862637e-259,0.378,0.173,0.205,1.32347579474994,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os01g0930400","HAK5",0,0,0.605,0.168,0.437,1.28792138909461,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os10g0444700","PT8",0,0,0.613,0.337,0.276,1.26628423277746,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os01g0644000","LOC_Os01g45640",0,0,0.854,0.439,0.415,1.2603300606156,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os02g0736400","OsDHODH1",0,0,0.589,0.202,0.387,1.25634693830198,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os08g0557900","LOC_Os08g44370",0,0,0.839,0.418,0.421,1.24997922435047,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os03g0103300","qLTG-3-1(t)",0,0,0.437,0.105,0.332,1.24582756236133,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os01g0803200","Oc1*",0,0,0.969,0.752,0.217,1.24345257506049,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os03g0255500","LOC_Os03g15050",0,0,0.574,0.172,0.402,1.23398120396079,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os04g0408700","LOC_Os04g33440",0,0,0.782,0.393,0.389,1.22697483984132,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os01g0326300","Os01g0326300",0,0,0.406,0.144,0.262,1.22334705464466,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
