"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
0,0.773666520118887,0.871,0.676,0,"1","MtABAB15"
3.46513580790547e-135,0.753620044106466,0.963,0.887,6.93027161581094e-132,"1","MtrunA17Chr4g0035001"
1.07792939981265e-98,0.740438735894924,0.619,0.621,2.1558587996253e-95,"1","MtrunA17Chr1g0163611"
3.04728913384122e-197,0.739789899056611,0.722,0.608,6.09457826768244e-194,"1","MtrunA17Chr6g0461221"
3.07077531452057e-130,0.732938982072178,0.741,0.655,6.14155062904113e-127,"1","MtrunA17Chr4g0017411"
1.22768132442796e-209,0.730248682516473,0.779,0.734,2.45536264885592e-206,"1","MtrunA17Chr2g0330151"
6.6087781647797e-90,0.723099326703547,0.547,0.441,1.32175563295594e-86,"1","MtPEP"
1.17941727497435e-60,0.708112170966373,0.639,0.531,2.3588345499487e-57,"1","MtPR10-1"
5.81798419647637e-209,0.699005837820519,0.638,0.497,1.16359683929527e-205,"1","MtrunA17Chr5g0446101"
6.17467798345026e-250,0.691005743935978,0.861,0.79,1.23493559669005e-246,"1","MtrunA17Chr2g0312031"
3.11891503913043e-194,0.690033360270527,0.909,0.756,6.23783007826085e-191,"1","MtrunA17Chr1g0147611"
2.34735636706884e-206,0.67652081015948,0.761,0.66,4.69471273413769e-203,"1","MtrunA17Chr8g0343954"
4.74928687985802e-105,0.675138776179108,0.68,0.619,9.49857375971603e-102,"1","MtPhyCys32"
5.85987755730837e-182,0.666477506643252,0.921,0.831,1.17197551146167e-178,"1","MtrunA17Chr8g0342951"
2.15860302562133e-84,0.657472791527024,0.612,0.564,4.31720605124266e-81,"1","MtrunA17Chr3g0082701"
0,0.654917245594836,0.908,0.753,0,"1","MtrunA17Chr1g0160381"
0,0.645053242789074,0.868,0.763,0,"1","MtrunA17Chr2g0315841"
7.95731779524213e-21,0.644384148680013,0.542,0.537,1.59146355904843e-17,"1","MtNPF6.7"
2.81509489232013e-216,0.643846264829494,0.88,0.777,5.63018978464026e-213,"1","MtrunA17Chr1g0191081"
1.81441129298158e-211,0.643126621170748,0.73,0.568,3.62882258596317e-208,"1","MtrunA17Chr6g0469111"
6.6557041620987e-100,0.642020893188148,0.873,0.784,1.33114083241974e-96,"1","MtKunitz9%3BMtPI"
0,0.632639068318865,0.881,0.767,0,"1","MtrunA17Chr4g0020691"
0,0.610494687773196,0.861,0.667,0,"1","MtABAB16"
0,0.591090217242907,0.759,0.614,0,"1","MtrunA17Chr6g0456401"
1.16067512256706e-05,0.584677760818783,0.517,0.518,0.0232135024513412,"1","MtrunA17Chr3g0085471"
1.3445914734246e-284,0.577212442078458,0.738,0.636,2.68918294684919e-281,"1","MtrunA17Chr6g0476821"
